Phrase,Language,Intent,Tier,Shelf (localized),Shelf (en),Target URL
la oración,es,Theme term,1,Sobre la oración,On Prayer,https://ochorus.com/es/topics/prayer
libros sobre la oración,es,Collection,1,Sobre la oración,On Prayer,https://ochorus.com/es/topics/prayer
mejores libros sobre la oración,es,Best-of,2,Sobre la oración,On Prayer,https://ochorus.com/es/topics/prayer
el espíritu santo,es,Theme term,1,El Espíritu Santo,The Holy Spirit,https://ochorus.com/es/topics/holy-spirit
libros sobre el espíritu santo,es,Collection,1,El Espíritu Santo,The Holy Spirit,https://ochorus.com/es/topics/holy-spirit
mejores libros sobre el espíritu santo,es,Best-of,2,El Espíritu Santo,The Holy Spirit,https://ochorus.com/es/topics/holy-spirit
la vida más profunda,es,Theme term,1,La vida más profunda,The Deeper Life,https://ochorus.com/es/topics/deeper-life
libros sobre la vida más profunda,es,Collection,1,La vida más profunda,The Deeper Life,https://ochorus.com/es/topics/deeper-life
mejores libros sobre la vida más profunda,es,Best-of,2,La vida más profunda,The Deeper Life,https://ochorus.com/es/topics/deeper-life
gracia y consuelo,es,Theme term,1,Gracia y consuelo,Grace & Comfort,https://ochorus.com/es/topics/grace-and-comfort
libros sobre gracia y consuelo,es,Collection,1,Gracia y consuelo,Grace & Comfort,https://ochorus.com/es/topics/grace-and-comfort
mejores libros sobre gracia y consuelo,es,Best-of,2,Gracia y consuelo,Grace & Comfort,https://ochorus.com/es/topics/grace-and-comfort
avivamiento y misiones,es,Theme term,1,Avivamiento y misiones,Revival & Missions,https://ochorus.com/es/topics/revival-and-missions
libros sobre avivamiento y misiones,es,Collection,1,Avivamiento y misiones,Revival & Missions,https://ochorus.com/es/topics/revival-and-missions
mejores libros sobre avivamiento y misiones,es,Best-of,2,Avivamiento y misiones,Revival & Missions,https://ochorus.com/es/topics/revival-and-missions
fe y dirección,es,Theme term,1,Fe y dirección,Faith & Guidance,https://ochorus.com/es/topics/faith-and-guidance
libros sobre fe y dirección,es,Collection,1,Fe y dirección,Faith & Guidance,https://ochorus.com/es/topics/faith-and-guidance
mejores libros sobre fe y dirección,es,Best-of,2,Fe y dirección,Faith & Guidance,https://ochorus.com/es/topics/faith-and-guidance
el llamado del evangelio,es,Theme term,1,El llamado del evangelio,The Gospel Call,https://ochorus.com/es/topics/the-gospel-call
