Phrase,Intent,Tier,Shelf,Books#,Target URL
books on prayer,Collection,1,On Prayer,11,https://ochorus.com/topics/prayer
best books on prayer,Best-of,1,On Prayer,11,https://ochorus.com/topics/prayer
classic books on prayer,Adjectival,1,On Prayer,11,https://ochorus.com/topics/prayer
how to pray,Felt-need (informational),2,On Prayer,11,https://ochorus.com/topics/prayer
christian classics on prayer,Classics,2,On Prayer,11,https://ochorus.com/topics/prayer
free books on prayer,Free,2,On Prayer,11,https://ochorus.com/topics/prayer
books on the holy spirit,Collection,1,The Holy Spirit,4,https://ochorus.com/topics/holy-spirit
best books on the holy spirit,Best-of,1,The Holy Spirit,4,https://ochorus.com/topics/holy-spirit
who is the holy spirit,Felt-need (informational),2,The Holy Spirit,4,https://ochorus.com/topics/holy-spirit
christian classics on the holy spirit,Classics,2,The Holy Spirit,4,https://ochorus.com/topics/holy-spirit
free books on the holy spirit,Free,2,The Holy Spirit,4,https://ochorus.com/topics/holy-spirit
books on the deeper christian life,Collection,1,The Deeper Life,8,https://ochorus.com/topics/deeper-life
best books on the deeper christian life,Best-of,1,The Deeper Life,8,https://ochorus.com/topics/deeper-life
what is the deeper christian life,Felt-need (informational),2,The Deeper Life,8,https://ochorus.com/topics/deeper-life
christian classics on the deeper christian life,Classics,2,The Deeper Life,8,https://ochorus.com/topics/deeper-life
free books on the deeper christian life,Free,2,The Deeper Life,8,https://ochorus.com/topics/deeper-life
books on grace and comfort,Collection,1,Grace & Comfort,7,https://ochorus.com/topics/grace-and-comfort
best books on grace and comfort,Best-of,1,Grace & Comfort,7,https://ochorus.com/topics/grace-and-comfort
bible comfort for hard times,Adjectival,1,Grace & Comfort,7,https://ochorus.com/topics/grace-and-comfort
how to find comfort in god,Felt-need (informational),2,Grace & Comfort,7,https://ochorus.com/topics/grace-and-comfort
christian classics on grace and comfort,Classics,2,Grace & Comfort,7,https://ochorus.com/topics/grace-and-comfort
free books on grace and comfort,Free,2,Grace & Comfort,7,https://ochorus.com/topics/grace-and-comfort
books on revival and missions,Collection,1,Revival & Missions,10,https://ochorus.com/topics/revival-and-missions
best books on revival and missions,Best-of,1,Revival & Missions,10,https://ochorus.com/topics/revival-and-missions
what is revival,Felt-need (informational),2,Revival & Missions,10,https://ochorus.com/topics/revival-and-missions
christian classics on revival and missions,Classics,2,Revival & Missions,10,https://ochorus.com/topics/revival-and-missions
free books on revival and missions,Free,2,Revival & Missions,10,https://ochorus.com/topics/revival-and-missions
books on faith and guidance,Collection,1,Faith & Guidance,10,https://ochorus.com/topics/faith-and-guidance
best books on faith and guidance,Best-of,1,Faith & Guidance,10,https://ochorus.com/topics/faith-and-guidance
books on trusting god,Adjectival,1,Faith & Guidance,10,https://ochorus.com/topics/faith-and-guidance
how to know god's will,Felt-need (informational),2,Faith & Guidance,10,https://ochorus.com/topics/faith-and-guidance
christian classics on faith and guidance,Classics,2,Faith & Guidance,10,https://ochorus.com/topics/faith-and-guidance
free books on faith and guidance,Free,2,Faith & Guidance,10,https://ochorus.com/topics/faith-and-guidance
books on the gospel,Collection,1,The Gospel Call,4,https://ochorus.com/topics/the-gospel-call
best books on the gospel,Best-of,1,The Gospel Call,4,https://ochorus.com/topics/the-gospel-call
